t,fv0_x,fv0_v,fv0_v_kmh,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
0.0,-20.0,0.0,0.0,5750.3623,4.208754,0.0,0.0,20.0,2.0
0.05,-19.99474,0.21043772,0.75757575,5750.9097,4.208754,2.6658205e-18,1.0663282e-16,19.99474,2.2104378
0.1,-19.978956,0.42087543,1.5151515,5751.4927,4.208754,1.0382669e-17,2.0204113e-16,19.978956,2.4208753
0.15,-19.952652,0.63131315,2.2727273,5752.1104,4.208754,2.2589321e-17,2.8622493e-16,19.952652,2.631313
0.2,-19.915825,0.84175086,3.030303,5752.763,4.208754,3.872455e-17,3.5918424e-16,19.915825,2.8417509
0.25,-19.868477,1.0521885,3.7878788,5753.4517,4.208754,5.822713e-17,4.2091902e-16,19.868477,3.0521886
0.3,-19.810606,1.2626263,4.5454545,5754.175,4.208754,8.053584e-17,4.714293e-16,19.810606,3.2626262
0.35,-19.742214,1.473064,5.3030305,5754.933,4.208754,1.0508945e-16,5.107151e-16,19.742214,3.473064
0.4,-19.6633,1.6835017,6.060606,5755.7266,4.208754,1.3132674e-16,5.387764e-16,19.6633,3.6835017
0.45,-19.573864,1.8939394,6.818182,5756.555,4.208754,1.5868647e-16,5.556131e-16,19.573864,3.8939395
0.5,-19.473906,2.104377,7.5757575,5757.419,4.208754,1.8660743e-16,5.6122534e-16,19.473906,4.1043773
0.55,-19.363426,2.3148148,8.333333,5758.318,4.208754,2.1452839e-16,5.556131e-16,19.363426,4.314815
0.6,-19.242424,2.5252526,9.090909,5759.2515,4.208754,2.4188813e-16,5.387764e-16,19.242424,4.5252523
0.65,-19.1109,2.73569,9.848485,5760.2207,4.208754,2.6812542e-16,5.107151e-16,19.1109,4.73569
0.7,-18.968855,2.946128,10.606061,5761.225,4.208754,2.9267903e-16,4.714293e-16,18.968855,4.946128
0.75,-18.816288,3.1565657,11.363636,5762.264,4.208754,3.1498773e-16,4.2091902e-16,18.816288,5.1565657
0.8,-18.653198,3.3670034,12.121212,5763.339,4.208754,3.3449032e-16,3.5918424e-16,18.653198,5.3670034
0.85,-18.479588,3.577441,12.878788,5764.448,4.208754,3.5062556e-16,2.8622493e-16,18.479588,5.577441
0.9,-18.295454,3.7878788,13.636364,5765.5933,4.208754,3.628322e-16,2.0204113e-16,18.295454,5.787879
0.95,-18.1008,3.9983165,14.393939,5766.773,4.208754,3.7054904e-16,1.0663282e-16,18.1008,5.9983163
1.0,-17.895622,4.208754,15.151515,5767.988,4.208754,3.7321487e-16,0.0,17.895622,6.208754
1.05,-17.679924,4.419192,15.909091,5769.2383,4.208754,3.7026844e-16,-1.1785733e-16,17.679924,6.419192
1.1,-17.453703,4.6296296,16.666666,5770.5234,4.208754,3.611485e-16,-2.4693917e-16,17.453703,6.6296296
1.15,-17.21696,4.8400674,17.424242,5771.8438,4.208754,3.452939e-16,-3.872455e-16,17.21696,6.8400674
1.2,-16.969696,5.050505,18.181818,5773.199,4.208754,3.2214336e-16,-5.387764e-16,16.969696,7.050505
1.25,-16.71191,5.260943,18.939394,5774.59,4.208754,2.9113565e-16,-7.015317e-16,16.71191,7.260943
1.3,-16.443575,5.46941,19.689875,5776.002,4.208754,2.5170958e-16,-8.7551157e-16,16.443575,7.46941
1.35,-16.166084,5.5914345,20.129164,1604.4598,0.9592333,2.033039e-16,-1.060716e-15,16.166084,7.5914345
1.4,-15.886539,5.585701,20.108524,-1308.1693,-1.3091384,1.4535737e-16,-1.2571448e-15,15.886539,7.585701
1.45,-15.609656,5.4919233,19.770926,-2719.2415,-2.4075994,7.7308796e-17,-1.4647982e-15,15.609656,7.4919233
1.5,-15.338445,5.359122,19.29284,-3381.4832,-2.9226584,-1.4030634e-18,-1.6836761e-15,15.338445,7.359122
1.55,-15.073998,5.204491,18.736168,-3559.298,-3.0603356,-9.0216976e-17,-1.8688804e-15,15.073998,7.204491
1.6,-14.817645,5.050186,18.18067,-3614.9746,-3.102906,-1.8632683e-16,-1.9755133e-15,14.817645,7.050186
1.65,-14.569018,4.896323,17.626762,-3554.385,-3.0549433,-2.8580403e-16,-2.0035745e-15,14.569018,6.896323
1.7,-14.327916,4.7449427,17.081795,-3416.3672,-2.946705,-3.8471998e-16,-1.9530642e-15,14.327916,6.7449427
1.75,-14.094242,4.599299,16.557476,-3262.2104,-2.8259392,-4.7914616e-16,-1.8239825e-15,14.094242,6.599299
1.8,-13.867647,4.4590845,16.052704,-3093.0393,-2.6935186,-5.6515393e-16,-1.616329e-15,13.867647,6.4590845
