t,fv0_x,fv0_v,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
0.0,-20.0,0.0,4.4777207,4.208,0.024835708,0.0220744,20.024836,2.0
0.1,-19.97958,0.4208,4.478601,4.208,-0.0065382724,-0.00019092739,19.973042,2.4208
0.2,-19.917496,0.8416,4.4795904,4.208,0.033800878,0.0120635005,19.951298,2.8416
0.3,-19.811142,1.2624,4.4806895,4.208,0.07910938,0.02715313,19.890251,3.2624
0.4,-19.661531,1.6832,4.481898,4.208,-0.006875073,0.04166861,19.654657,3.6832
0.5,-19.472097,2.104,4.4832153,4.208,-0.0048328973,0.014160939,19.467264,4.104
0.6,-19.243093,2.5248,4.4846425,4.208,0.08787595,0.050395988,19.33097,4.5248
0.7,-18.971544,2.9456,4.486179,4.208,0.049161755,-0.02521867,19.020706,4.9456
0.8,-18.654648,3.3664,4.4878244,4.208,-0.011142269,0.028527042,18.643505,5.3664
0.9,-18.295858,3.7872,4.4895797,4.208,0.04050096,-0.009291696,18.336359,5.7872
1.0,-17.895494,4.208,4.4914446,4.208,-0.009422984,0.027445426,17.88607,6.208
1.1,-17.453648,4.6288,4.4934187,4.208,-0.00999685,-0.006324378,17.443651,6.6288
1.2,-16.970337,5.0496,4.495502,4.208,0.02392964,-0.033455055,16.994267,7.0496
1.3,-16.4455,5.4704,4.4976945,4.208,-0.08645708,-0.019238217,16.359043,7.4704
1.4,-15.879003,5.8912,4.4999967,4.208,-0.08099669,-0.028795775,15.798006,7.8912
1.5,-15.270637,6.312,4.5024085,4.208,-0.028322678,-0.049652576,15.242313,8.312
1.6,-14.620114,6.7328,4.5049295,4.208,-0.05764049,-0.093916066,14.562474,8.7328
1.7,-13.927061,7.1531105,4.5075564,4.208,0.0014228817,-0.08216927,13.928484,9.1531105
1.8,-13.199377,7.298638,-1.0463277,-1.3468194,-0.066314675,-0.060072295,13.133062,9.298638
