t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
0.0,-19.900658,0.110372,-20.0,0.0,5404.356,3.9392793,3.8177233,0.0,0.0,20.0,2.0,4.209
0.1,-20.007957,0.35543877,-19.980305,0.3938877,5404.356,3.9384587,3.9928558,0.00037494276,0.0074988552,19.98068,2.3938878,4.209
0.2,-19.791687,0.78134954,-19.921225,0.78768855,5404.356,3.9375424,3.963637,0.0014164504,0.013331298,19.922642,2.7876885,4.209
0.3,-19.518164,1.2296721,-19.822771,1.181393,5404.356,3.9365308,3.9225974,0.0029578817,0.017497329,19.825727,3.181393,4.209
0.4,-19.731781,1.6833498,-19.68495,1.5749915,5404.356,3.9354236,3.9635596,0.0048325956,0.019996947,19.689783,3.5749915,4.209
0.5,-19.554604,1.9351285,-19.507776,1.9684745,5404.356,3.934221,3.8853173,0.0068739504,0.020830153,19.51465,3.9684746,4.209
0.6,-18.975416,2.5138278,-19.29126,2.3618326,5404.356,3.9329233,3.936542,0.008915305,0.019996947,19.300175,4.3618326,4.209
0.7,-18.881927,2.541476,-19.035414,2.7550561,5404.356,3.9315305,3.9712691,0.010790019,0.017497329,19.046204,4.755056,4.209
0.8,-18.834148,3.2241142,-18.740253,3.1481354,5404.356,3.9300427,3.7753282,0.01233145,0.013331298,18.752584,5.1481357,4.209
0.9,-18.29728,3.4571087,-18.405792,3.5410614,5404.356,3.9284601,3.9060988,0.013372958,0.0074988552,18.419165,5.5410614,4.209
1.0,-18.12473,4.0710516,-18.032045,3.9338243,5404.356,3.9267828,3.9256506,0.013747901,0.0,18.045794,5.9338245,4.209
1.1,-17.71218,4.340619,-17.619032,4.326415,5404.356,3.925011,3.9151964,0.013289638,-0.009165267,17.632322,6.326415,4.209
1.2,-17.118378,4.651533,-17.166769,4.7188234,5404.356,3.923145,3.996,0.011831527,-0.019996947,17.1786,6.7188234,4.209
1.3,-17.05793,5.177325,-16.675274,5.1110406,5404.356,3.9211848,3.8649898,0.009206927,-0.032495037,16.68448,7.1110406,4.209
1.4,-16.489552,5.592376,-16.144567,5.503057,5404.356,3.9191306,3.8880725,0.0052491985,-0.046659544,16.149817,7.503057,4.209
1.5,-15.687128,5.959053,-15.57467,5.8948636,5404.356,3.9169827,3.8211892,-0.00020830153,-0.06249046,15.574462,7.8948636,4.209
1.6,-15.168169,6.1834807,-14.965603,6.2864504,5404.356,3.914741,3.9902554,-0.0069989315,-0.07332214,14.958604,8.28645,4.209
1.7,-14.254539,6.629407,-14.317388,6.677809,5404.356,3.9124062,3.9000916,-0.014289485,-0.072488934,14.303099,8.677809,4.209
1.8,-13.811654,7.0685215,-13.630049,7.0689287,5404.356,3.9099784,3.888058,-0.020913474,-0.059990842,13.609136,9.068929,4.209
1.9,-13.186071,7.455675,-12.90361,7.459801,5404.356,3.9074576,3.9048333,-0.025704408,-0.035827864,12.877906,9.459802,4.209
2.0,-11.844967,7.9253917,-12.138097,7.850417,5404.356,3.904844,3.9366558,-0.027495801,1.3877788e-17,12.110601,9.850417,4.209
2.1,-11.378691,8.039277,-11.333535,8.2407675,5404.356,3.9021382,3.9195063,-0.025121164,0.04749275,11.308414,10.2407675,4.209
2.2,-10.481299,8.468711,-10.494805,8.435278,-769.48376,-0.9075317,-0.7751374,-0.017414007,0.10665038,10.477391,10.435278,-0.59928644
2.3,-9.948266,8.113856,-9.663317,8.142855,-5477.277,-4.571966,-4.5492697,-0.0032078435,0.1774729,9.660109,10.142855,-4.265792
2.4,-8.983188,7.5570483,-8.8743105,7.640898,-7115.2905,-5.844246,-5.8675084,0.018663816,0.2599603,8.892975,9.640898,-5.5415034
2.5,-8.119893,6.9026537,-8.142078,6.9769025,-6091.079,-5.042273,-5.070341,0.04936746,0.3541126,8.191445,8.976902,-4.743831
2.6,-7.701488,6.4324994,-7.4712896,6.453953,-6044.653,-5.00292,-5.022558,0.08985805,0.4556991,7.5611477,8.453953,-4.7076735
2.7,-6.7752924,5.6006207,-6.850432,5.960729,-5742.1772,-4.764488,-4.83958,0.14066745,0.56048906,6.9910994,7.960729,-4.4721007
2.8,-6.397714,5.432209,-6.2775865,5.502338,-5259.8535,-4.386325,-4.3843317,0.20211603,0.66848254,6.4797025,7.502338,-4.0964594
