t,fv0_x,fv0_v,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
0.0,-20.0,0.0,4.4777207,4.208,0.024835708,-0.019968817,20.024836,2.0
0.1,-19.975653,0.4208,4.478601,4.208,-0.006913142,0.032466598,19.968739,2.4208
0.2,-19.909227,0.8416,4.4795904,4.208,0.032384705,0.03983001,19.941612,2.8416
0.3,-19.80171,1.2624,4.4806895,4.208,0.07615207,0.007861686,19.877863,3.2624
0.4,-19.651653,1.6832,4.481898,4.208,-0.011706726,0.031811975,19.639946,3.6832
0.5,-19.462006,2.104,4.4832153,4.208,-0.011705506,-0.011378897,19.4503,4.104
0.6,-19.23175,2.5248,4.4846425,4.208,0.07896238,-0.015938368,19.310713,4.5248
0.7,-18.957767,2.9456,4.486179,4.208,0.038373843,0.0008219108,18.996141,4.9456
0.8,-18.641687,3.3664,4.4878244,4.208,-0.023471313,0.008701423,18.618216,5.3664
0.9,-18.28506,3.7872,4.4895797,4.208,0.027130613,-0.00787827,18.312191,5.7872
1.0,-17.888323,4.208,4.4914446,4.208,-0.0231682,0.010755364,17.865154,6.208
1.1,-17.450825,4.6288,4.4934187,4.208,-0.023283893,0.0061260005,17.427542,6.6288
1.2,-16.97083,5.0496,4.495502,4.208,0.012100424,-0.019970039,16.982931,7.0496
1.3,-16.445597,5.4704,4.4976945,4.208,-0.095662214,0.010369517,16.349934,7.4704
1.4,-15.875848,5.8912,4.4999967,4.208,-0.086244866,0.017261457,15.789603,7.8912
1.5,-15.263457,6.312,4.5024085,4.208,-0.028114418,0.0034171871,15.235343,8.312
1.6,-14.610462,6.7328,4.5049295,4.208,-0.050642923,0.023038648,14.55982,8.7328
1.7,-13.918684,7.1530476,4.5075564,4.208,0.015709577,-0.024362227,13.934394,9.153048
1.8,-13.190628,7.3066564,-0.7756415,-1.0761851,-0.045405287,0.009347297,13.145224,9.306657
1.9,-12.472562,7.0397453,-3.3652205,-3.6640577,-0.0706202,-0.023412608,12.401942,9.039745
2.0,-11.793889,6.5902495,-3.6004708,-3.896534,0.07327707,-0.022281626,11.8671665,8.590249
2.1,-11.156127,6.189256,-4.003296,-4.2969894,-0.0112937195,-0.012609345,11.144834,8.189257
2.2,-10.559948,5.7764707,-3.9184172,-4.2097754,0.0033730108,-0.018820385,10.563321,7.7764707
2.3,-10.003473,5.3749046,-3.620272,-3.9094596,-0.07123803,-0.010925271,9.932236,7.3749046
2.4,-9.484042,4.9926753,-3.224957,-3.5121708,-0.027215492,-0.004232257,9.456827,6.9926753
2.5,-9.001763,4.6534896,-3.0071886,-3.2927263,0.005555767,0.016812218,9.0073185,6.6534896
2.6,-8.554595,4.3528,-2.9393349,-3.2234464,-0.057532486,-0.0063412017,8.497063,6.3528
2.7,-8.134766,4.0474963,-2.5914464,-2.8741667,0.018810267,-0.031631023,8.153576,6.0474963
2.8,-7.741405,3.7579637,-2.2041633,-2.4856176,-0.02999911,0.022869023,7.711406,5.7579637
2.9,-7.3788643,3.5232985,-2.2006712,-2.4811378,-0.014546455,-0.016701302,7.364318,5.5232983
3.0,-7.0387087,3.2859063,-1.9855667,-2.265068,-0.030045073,-0.0011744086,7.0086637,5.2859063
3.1,-6.7211237,3.067904,-1.8134432,-2.0920892,0.09265147,0.008876891,6.813775,5.067904
3.2,-6.424254,2.8652496,-1.6540753,-1.9319522,-0.00064603845,0.0038711915,6.423608,4.8652496
3.3,-6.1458354,2.6707137,-1.4424281,-1.7195909,-0.05287285,0.02168206,6.0929627,4.670714
3.4,-5.8867893,2.4976735,-1.3293511,-1.6058981,0.041115094,0.009284678,5.9279046,4.4976735
3.5,-5.6445765,2.3366618,-1.2252496,-1.5012405,-0.061089233,-0.017628767,5.583487,4.336662
3.6,-5.414834,2.1697633,-0.9534351,-1.2288662,0.010352124,0.04309368,5.425186,4.169763
3.7,-5.203086,2.0382993,-0.95748615,-1.2324885,-0.09812218,0.0034118737,5.104964,4.038299
3.8,-5.00604,1.9192291,-0.99465764,-1.2692808,-0.06659143,-0.0033410848,4.939449,3.919229
3.9,-4.8185062,1.7835994,-0.7640583,-1.0382603,0.00962942,0.019042494,4.8281355,3.7835994
4.0,-4.645135,1.678235,-0.7803879,-1.0542706,0.036697887,0.004989019,4.681833,3.678235
4.1,-4.4800754,1.5596697,-0.57765985,-0.8511914,0.00835866,0.008298329,4.488434,3.5596697
4.2,-4.3243976,1.446607,-0.3673296,-0.6405344,-0.005941216,0.05054896,4.318456,3.446607
4.3,-4.1830115,1.3725413,-0.5091188,-0.7821138,-0.015119995,-0.004327883,4.1678915,3.3725414
4.4,-4.050432,1.2971579,-0.5697125,-0.84249747,-0.0738461,-0.004633657,3.9765859,3.297158
4.5,-3.9245508,1.2140979,-0.48906058,-0.7616182,-0.035708822,0.0046778964,3.888842,3.214098
4.6,-3.8081985,1.1480519,-0.5393188,-0.8116986,-0.022492064,0.024213703,3.7857063,3.1480517
4.7,-3.6996017,1.0861323,-0.58345515,-0.8556708,0.05367352,-0.027363399,3.7532752,3.0861323
4.8,-3.597758,1.0255927,-0.5967127,-0.8687702,0.018251587,-0.037013102,3.6160097,3.0255926
4.9,-3.4995282,0.9506556,-0.41529083,-0.6871555,-0.08689766,-0.0103667155,3.4126306,2.9506555
5.0,-3.4095836,0.8973367,-0.4319899,-0.70371956,0.01752733,-0.03267846,3.427111,2.8973367
5.1,-3.3241198,0.8407875,-0.38081467,-0.65240306,-0.018022418,-0.010325379,3.3060973,2.8407874
5.2,-3.2414877,0.7711515,-0.15713458,-0.42855167,-0.032911375,0.0059393286,3.2085764,2.7711515
5.3,-3.1675003,0.73309624,-0.24895935,-0.5202841,0.030970719,-0.02466072,3.1984708,2.7330961
5.4,-3.0986433,0.695386,-0.31235537,-0.58358955,0.051092893,-0.038570512,3.1497362,2.695386
5.5,-3.0317323,0.6426007,-0.18723282,-0.45834163,0.044921454,-0.0122886365,3.076654,2.6426008
5.6,-2.9684088,0.59242195,-0.06368892,-0.33468014,-0.045098335,0.0010281197,2.9233105,2.592422
5.7,-2.9130402,0.5702345,-0.20357509,-0.47451484,-0.020215658,-0.050028365,2.8928244,2.5702345
5.8,-2.8568964,0.5217552,-0.022603586,-0.29343188,0.010331997,0.0030108271,2.8672283,2.5217552
5.9,-2.8048933,0.48493516,0.06552101,-0.2052236,0.041475516,0.008328602,2.8463688,2.4849353
6.0,-2.7560704,0.45385206,0.12601785,-0.14465678,-0.03166133,0.019081702,2.7244089,2.453852
6.1,-2.7095032,0.4247392,0.19890662,-0.071703,-0.01645263,0.03502835,2.6930504,2.4247391
6.2,-2.6641302,0.39333943,0.3291394,0.058599308,-0.06075556,0.06799899,2.6033747,2.3933394
6.3,-2.6249297,0.39255643,0.16243543,-0.10810294,-0.06205621,0.032778062,2.5628734,2.3925564
6.4,-2.5862694,0.38166738,0.14482827,-0.12568612,0.043299526,0.06067375,2.6295688,2.3816674
6.5,-2.5492334,0.37347522,0.13369551,-0.1368009,0.07739465,0.07137719,2.6266282,2.3734753
6.6,-2.5118716,0.35787213,0.21827325,-0.05218904,0.014963319,0.09995713,2.526835,2.3578722
6.7,-2.4737828,0.33848387,0.33282462,0.06240454,0.07950955,0.14612149,2.5532923,2.3384838
6.8,-2.44127,0.34730598,0.13753295,-0.13290632,0.05950517,0.09944494,2.5007753,2.347306
6.9,-2.4095566,0.3510279,-0.008304452,-0.27875182,0.022112703,0.115340225,2.4316695,2.351028
7.0,-2.3741834,0.32146713,0.19618441,-0.07419883,0.085772134,0.16165562,2.4599555,2.3214672
7.1,-2.3409595,0.3025703,0.26559323,-0.0047493135,0.15785965,0.15139829,2.4988194,2.3025703
7.2,-2.3109803,0.2969869,0.17267628,-0.09765426,0.091877304,0.11595528,2.4028578,2.2969868
7.3,-2.2805545,0.27764446,0.21046536,-0.059823815,0.18360034,0.12786108,2.464155,2.2776444
7.4,-2.252742,0.26540384,0.14882009,-0.12144302,-0.015397305,0.10048727,2.2373447,2.2654037
7.5,-2.224974,0.23864399,0.22384064,-0.046365812,0.1649626,0.10189315,2.3899364,2.238644
7.6,-2.2014956,0.22739671,0.1269041,-0.14327866,0.13430052,0.051216014,2.335796,2.2273967
7.7,-2.1783457,0.20265855,0.19783747,-0.072293475,0.11905689,0.05196878,2.2974026,2.2026587
