t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
0.0,-19.900658,-0.09984408,-20.0,0.0,5404.356,3.9392793,3.940171,0.0,0.0,20.0,2.0,4.209
0.1,-20.007957,0.5562134,-19.980305,0.3938877,5404.356,3.9384587,3.940337,7.3195615e-08,1.4639122e-06,19.980305,2.3938878,4.209
0.2,-19.791687,0.9868256,-19.921225,0.78768855,5404.356,3.9375424,3.877409,2.7651674e-07,2.6025107e-06,19.921227,2.7876885,4.209
0.3,-19.518164,1.2206844,-19.822771,1.181393,5404.356,3.9365308,3.8870301,5.7743205e-07,3.4157952e-06,19.822771,3.181393,4.209
0.4,-19.731781,1.7340319,-19.68495,1.5749915,5404.356,3.9354236,3.8941686,9.434101e-07,3.903766e-06,19.684952,3.5749915,4.209
0.5,-19.554604,1.9115597,-19.507776,1.9684745,5404.356,3.934221,3.9365442,1.3419195e-06,4.0664227e-06,19.507778,3.9684746,4.209
0.6,-18.975416,2.2821212,-19.29126,2.3618326,5404.356,3.9329233,3.9368176,1.740429e-06,3.903766e-06,19.291262,4.3618326,4.209
0.7,-18.881927,2.7591486,-19.035414,2.7550561,5404.356,3.9315305,4.008735,2.106407e-06,3.4157952e-06,19.035416,4.755056,4.209
0.8,-18.834148,3.1916296,-18.740253,3.1481354,5404.356,3.9300427,3.9492955,2.4073224e-06,2.6025107e-06,18.740255,5.1481357,4.209
0.9,-18.29728,3.5016627,-18.405792,3.5410614,5404.356,3.9284601,3.7930818,2.6106434e-06,1.4639122e-06,18.405794,5.5410614,4.209
1.0,-18.12473,3.987601,-18.032045,3.9338243,5404.356,3.9267828,3.939915,2.683839e-06,-8.4703295e-22,18.03205,5.9338245,4.209
1.1,-17.71218,4.3570538,-17.619032,4.3264146,5404.356,3.925011,3.8525102,2.5943777e-06,-1.7892261e-06,17.619036,6.3264146,4.209
1.2,-17.118378,4.618993,-17.166769,4.7188234,5404.356,3.923145,3.8748465,2.3097282e-06,-3.903766e-06,17.16677,6.7188234,4.209
1.3,-17.05793,5.16292,-16.675274,5.1110406,5404.356,3.9211848,3.8805761,1.7973589e-06,-6.3436196e-06,16.675276,7.1110406,4.209
1.4,-16.489552,5.58941,-16.144567,5.503057,5404.356,3.9191306,3.8859637,1.0247386e-06,-9.108787e-06,16.14457,7.503057,4.209
1.5,-15.687128,5.9120107,-15.57467,5.8948636,5404.356,3.9169827,3.848225,-4.066423e-08,-1.2199269e-05,15.57467,7.8948636,4.209
1.6,-15.168169,6.4017153,-14.965603,6.2864504,5404.356,3.914741,3.924915,-1.3663181e-06,-1.4313809e-05,14.965601,8.28645,4.209
1.7,-14.254539,6.5560684,-14.317388,6.677809,5404.356,3.9124062,3.8418663,-2.789566e-06,-1.4151152e-05,14.317385,8.677809,4.209
1.8,-13.811653,7.1157236,-13.630049,7.0689287,5404.356,3.9099784,3.9278116,-4.0826885e-06,-1.1711298e-05,13.630045,9.068929,4.209
1.9,-13.18607,7.3427734,-12.90361,7.459801,5404.356,3.9074576,4.019306,-5.0179656e-06,-6.994247e-06,12.903605,9.459802,4.209
2.0,-11.844967,7.739009,-12.138097,7.850417,5404.356,3.904844,3.838376,-5.367678e-06,0.0,12.138092,9.850417,4.209
2.1,-11.381327,8.16684,-11.336171,8.229933,5404.356,3.9022145,3.887989,-4.904106e-06,9.2714445e-06,11.336166,10.229933,4.209
2.2,-10.477221,8.551296,-10.490726,8.645502,5404.356,3.8992333,3.7730603,-3.3995295e-06,2.0820085e-05,10.490724,10.645502,4.209
2.3,-9.896591,8.774168,-9.611642,8.828967,-1819.0532,-1.7278249,-1.7428716,-6.262291e-07,3.4645924e-05,9.611641,10.828967,-1.4167081
