t,fv0_x,fv0_v,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
0.0,-20.0,0.0,4.4777207,4.208,0.024835708,0.039369024,20.024836,2.0
0.1,-19.980412,0.4208,4.478601,4.208,-0.006913215,-0.013772998,19.973497,2.4208
0.2,-19.91555,0.8416,4.4795904,4.208,0.032384425,0.035994764,19.947935,2.8416
0.3,-19.811892,1.2624,4.4806895,4.208,0.07615149,-0.0109870015,19.888042,3.2624
0.4,-19.666056,1.6832,4.481898,4.208,-0.011707669,-0.017039426,19.654348,3.6832
0.5,-19.476255,2.104,4.4832153,4.208,-0.011706848,0.005924009,19.464548,4.104
0.6,-19.24296,2.5248,4.4846425,4.208,0.07896064,0.014318208,19.321922,4.5248
0.7,-18.96867,2.9456,4.486179,4.208,0.038371738,0.018235002,19.007042,4.9456
0.8,-18.653828,3.3664,4.4878244,4.208,-0.02347372,-0.019235248,18.630354,5.3664
0.9,-18.297466,3.7872,4.4895797,4.208,0.027128002,0.008690802,18.324594,5.7872
1.0,-17.89886,4.208,4.4914446,4.208,-0.023170885,-0.013711091,17.87569,6.208
1.1,-17.45753,4.6288,4.4934187,4.208,-0.023286488,-0.029778445,17.434242,6.6288
1.2,-16.973232,5.0496,4.495502,4.208,0.012098114,-0.018574726,16.98533,7.0496
1.3,-16.445976,5.4704,4.4976945,4.208,-0.09566401,-0.015018008,16.350311,7.4704
1.4,-15.876006,5.8912,4.4999967,4.208,-0.086245894,0.010431903,15.789761,7.8912
1.5,-15.263817,6.312,4.5024085,4.208,-0.028114377,0.023044273,15.2357025,8.312
1.6,-14.610141,6.7328,4.5049295,4.208,-0.050641555,-0.029464133,14.5595,8.7328
1.7,-13.91383,7.1518927,4.507549,4.208,0.015712367,0.0070392215,13.929543,9.151893
1.8,-13.192604,7.284151,-0.53471565,-0.83511364,-0.045401204,-0.023533965,13.147203,9.284151
1.9,-12.474301,7.0329924,-3.2960403,-3.5948348,-0.07061519,0.012581708,12.403687,9.032992
2.0,-11.79227,6.61555,-3.9016917,-4.1979074,0.073282436,-0.012454611,11.865552,8.61555
2.1,-11.152775,6.1905184,-4.0496373,-4.3433385,-0.011288815,-0.02102658,11.141486,8.190518
2.2,-10.554868,5.768657,-3.8733423,-4.1646576,0.0033764103,0.01599329,10.558244,7.768657
2.3,-9.999581,5.3593707,-3.4808,-3.7699056,-0.07123741,-0.011738452,9.928344,7.3593707
2.4,-9.483114,4.9896636,-3.2062285,-3.493427,-0.027219135,-0.006319279,9.455895,6.9896636
2.5,-9.007515,4.670965,-3.1772058,-3.4628282,0.0055461293,-0.044399783,9.013062,6.670965
2.6,-8.55647,4.3359323,-2.7464614,-3.0304945,-0.057549678,0.018931028,8.49892,6.3359323
2.7,-8.136493,4.0360494,-2.4596143,-2.7422838,0.018784901,0.01641817,8.155278,6.0360494
2.8,-7.7464867,3.769927,-2.316063,-2.5975688,-0.030031934,0.000109156885,7.7164545,5.769927
2.9,-7.3844943,3.530604,-2.256,-2.5364966,-0.014584688,-0.030551618,7.3699093,5.530604
3.0,-7.0427194,3.2897272,-2.0110328,-2.2905493,-0.03008533,0.024187384,7.012634,5.289727
3.1,-6.724474,3.0890322,-2.0408835,-2.319611,0.092613906,-0.0133252675,6.8170877,5.089032
3.2,-6.4262347,2.8698685,-1.7006661,-1.9785603,-0.00067486125,-0.009067069,6.42556,4.8698683
3.3,-6.1474295,2.6745014,-1.4811428,-1.7583193,-0.052885547,0.04624088,6.094544,4.6745014
3.4,-5.8899174,2.5123105,-1.4822781,-1.7588766,0.041127246,-0.014072729,5.9310446,4.5123105
3.5,-5.6463037,2.3397906,-1.2536075,-1.529609,-0.061042182,0.0148442,5.5852613,4.3397903
3.6,-5.418956,2.186165,-1.118764,-1.3942493,0.01044318,0.011241845,5.429399,4.1861653
3.7,-5.2067423,2.0461807,-1.0267953,-1.301823,-0.09798351,0.007803444,5.108759,4.0461807
3.8,-5.008102,1.9153708,-0.9380609,-1.212672,-0.066409305,0.005640011,4.941693,3.9153707
3.9,-4.822198,1.7949317,-0.87353945,-1.1477762,0.009843062,0.0075277714,4.8320413,3.7949317
4.0,-4.647434,1.6750977,-0.73144865,-1.005322,0.03692333,0.0054388116,4.6843576,3.6750977
4.1,-4.484874,1.5731843,-0.70762753,-0.9811987,0.0085684145,-0.0010383672,4.493442,3.5731843
4.2,-4.331466,1.472112,-0.6243521,-0.8976299,-0.005782414,0.030225663,4.325684,3.4721122
4.3,-4.190519,1.3943025,-0.72249484,-0.9955511,-0.015055185,-0.02625321,4.1754637,3.3943026
4.4,-4.054419,1.2923795,-0.4995217,-0.77229345,-0.0739261,0.020429162,3.980493,3.2923794
4.5,-3.927723,1.2081811,-0.41512933,-0.6876709,-0.03599221,0.016446846,3.8917308,3.2081811
4.6,-3.8093472,1.1342838,-0.3905085,-0.66285163,-0.023031939,0.0139679825,3.7863152,3.1342838
4.7,-3.698179,1.0617568,-0.32891348,-0.60106516,0.05285611,0.022339588,3.751035,3.0617568
4.8,-3.5950875,1.0012444,-0.350057,-0.6220514,0.017180914,-0.0018519879,3.6122684,3.0012445
4.9,-3.4996314,0.94856846,-0.40834263,-0.680202,-0.088152006,-0.03737948,3.4114795,2.9485683
5.0,-3.4082773,0.8862672,-0.32245445,-0.5941563,0.016204199,-0.0014458532,3.4244814,2.8862672
5.1,-3.3239384,0.8382693,-0.35476747,-0.6263496,-0.019254114,-0.019823885,3.3046842,2.8382692
5.2,-3.2444267,0.78941077,-0.34174454,-0.61320627,-0.0338461,-0.014637184,3.2105806,2.7894108
5.3,-3.1701639,0.74654806,-0.3616529,-0.6330102,0.030583814,-0.024848394,3.2007477,2.746548
5.4,-3.0993135,0.6973065,-0.28103754,-0.5522763,0.051549975,-0.009546897,3.1508636,2.6973066
5.5,-3.0330584,0.65402144,-0.23771681,-0.5088526,0.046564005,-0.011932474,3.0796223,2.6540215
5.6,-2.9697194,0.6064665,-0.12240718,-0.39343116,-0.041960876,-0.047551397,2.9277587,2.6064665
5.7,-2.9100103,0.5624858,-0.02314279,-0.2940646,-0.015460619,0.014004438,2.8945498,2.562486
5.8,-2.85256,0.5150251,0.1340508,-0.13676214,0.016563172,0.044406436,2.869123,2.5150251
5.9,-2.8011105,0.48984417,0.06956967,-0.20118606,0.048777256,0.012124744,2.8498876,2.489844
6.0,-2.753557,0.4675235,-0.0011965904,-0.27190194,-0.023958713,-0.0040584793,2.7295983,2.4675236
6.1,-2.708328,0.44187838,-0.015812064,-0.2864599,-0.009282948,-0.0010949279,2.699045,2.4418783
6.2,-2.6660223,0.41768795,-0.026868276,-0.29746222,-0.05531675,-0.008419718,2.6107056,2.417688
6.3,-2.6254885,0.38874224,0.031350352,-0.23917961,-0.059810333,0.0018008316,2.5656781,2.3887422
6.4,-2.5883424,0.36832196,0.012282243,-0.25820288,0.04062629,-0.00074016186,2.6289687,2.368322
6.5,-2.5540147,0.35324082,-0.05029127,-0.32074347,0.067812,-0.016820969,2.6218266,2.3532407
6.6,-2.5180192,0.31400257,0.1630736,-0.10729354,-0.003600506,0.033657767,2.5144188,2.3140025
6.7,-2.4893646,0.3143527,-0.042898763,-0.31326663,0.050176647,-0.029743085,2.5395412,2.3143528
6.8,-2.4583547,0.28333053,0.108098455,-0.16220285,0.018081801,0.01436663,2.4764366,2.2833304
6.9,-2.430907,0.26763687,0.10181538,-0.16845247,-0.03225599,-0.0020239525,2.3986511,2.2676368
7.0,-2.4023747,0.23641151,0.27303734,0.0028355941,0.01806978,0.038016636,2.4204445,2.2364116
7.1,-2.3783236,0.22616464,0.22600664,-0.044173528,0.07690183,0.006817292,2.4552252,2.2261646
7.2,-2.3565469,0.22163673,0.126867,-0.14330368,-0.001791302,-0.0071981107,2.3547554,2.2216368
7.3,-2.3353887,0.2113366,0.100876085,-0.16927299,0.078232184,-0.004954144,2.413621,2.2113366
7.4,-2.3150413,0.19484396,0.15440954,-0.11570511,-0.13098726,0.00079813384,2.1840541,2.194844
7.5,-2.2977133,0.19223404,0.0637365,-0.20637274,0.041095126,-0.022855815,2.3388085,2.192234
7.6,-2.2805328,0.18224457,0.06208805,-0.20800042,0.0043523535,-0.015337391,2.2848854,2.1822445
