t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
0.0,-19.900658,0.19684513,-20.0,0.0,5404.356,3.9392793,3.9560194,0.0,0.0,20.0,2.0,4.209
0.1,-20.007957,0.3250227,-19.980305,0.3938877,5404.356,3.9384587,4.003627,1.01020566e-17,2.0204113e-16,19.980305,2.3938878,4.209
0.2,-19.791687,0.9676624,-19.921225,0.78768855,5404.356,3.9375424,3.9194887,3.8163324e-17,3.5918424e-16,19.921225,2.7876885,4.209
0.3,-19.518164,1.126458,-19.822771,1.181393,5404.356,3.9365308,3.9422884,7.9694e-17,4.714293e-16,19.822771,3.181393,4.209
0.4,-19.731781,1.4897944,-19.68495,1.5749915,5404.356,3.9354236,3.8672583,1.3020429e-16,5.387764e-16,19.68495,3.5749915,4.209
0.5,-19.554604,1.9980946,-19.507776,1.9684745,5404.356,3.934221,3.8959432,1.8520438e-16,5.6122534e-16,19.507776,3.9684746,4.209
0.6,-18.975416,2.4334235,-19.29126,2.3618326,5404.356,3.9329233,3.916201,2.4020446e-16,5.387764e-16,19.29126,4.3618326,4.209
0.7,-18.881927,2.846231,-19.035414,2.7550561,5404.356,3.9315305,3.8784885,2.9071473e-16,4.714293e-16,19.035414,4.755056,4.209
0.8,-18.834148,3.0519593,-18.740253,3.1481354,5404.356,3.9300427,3.9961414,3.3224542e-16,3.5918424e-16,18.740253,5.1481357,4.209
0.9,-18.29728,3.5845156,-18.405792,3.5410614,5404.356,3.9284601,3.8865597,3.603067e-16,2.0204113e-16,18.405792,5.5410614,4.209
1.0,-18.12473,3.865269,-18.032045,3.9338243,5404.356,3.9267828,3.9661226,3.7040875e-16,0.0,18.032045,5.9338245,4.209
1.1,-17.71218,4.1775227,-17.619032,4.326415,5404.356,3.925011,3.9343529,3.580618e-16,-2.4693917e-16,17.619032,6.326415,4.209
