t,fv0_x,fv0_v,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
0.0,-20.0,0.0,4.4777207,4.208,0.024835708,-0.022281626,20.024836,2.0
0.1,-19.980536,0.4208,4.478601,4.208,-0.0069133653,-0.012621623,19.973623,2.4208
0.2,-19.919132,0.8416,4.4795904,4.208,0.03238386,-0.01884655,19.951517,2.8416
0.3,-19.814743,1.2624,4.4806895,4.208,0.076150306,-0.0109669315,19.890892,3.2624
0.4,-19.667498,1.6832,4.481898,4.208,-0.011709606,-0.0042910236,19.655788,3.6832
0.5,-19.47819,2.104,4.4832153,4.208,-0.0117096035,0.016734738,19.46648,4.104
0.6,-19.24762,2.5248,4.4846425,4.208,0.078957066,-0.006431198,19.326578,4.5248
0.7,-18.97603,2.9456,4.486179,4.208,0.03836741,-0.03171953,19.014399,4.9456
0.8,-18.663105,3.3664,4.4878244,4.208,-0.023478663,0.022796012,18.639627,5.3664
0.9,-18.307968,3.7872,4.4895797,4.208,0.027122641,-0.01674481,18.33509,5.7872
1.0,-17.909184,4.208,4.4914446,4.208,-0.023176396,-0.0011744086,17.886005,6.208
1.1,-17.46513,4.6288,4.4934187,4.208,-0.023291815,0.008934405,17.44184,6.6288
1.2,-16.979101,5.0496,4.495502,4.208,0.01209337,0.004000226,16.991194,7.0496
1.3,-16.454823,5.4704,4.4976945,4.208,-0.095667705,0.02189662,16.359154,7.4704
1.4,-15.8924055,5.8912,4.4999967,4.208,-0.086247995,0.00959877,15.806158,7.8912
1.5,-15.288327,6.312,4.5024085,4.208,-0.028114293,-0.017201137,15.260213,8.312
1.6,-14.636046,6.7299995,4.5049124,4.208,-0.05063875,0.04360064,14.585407,8.73
1.7,-13.94129,7.1708436,4.50767,4.208,0.015718095,0.0039157327,13.957008,9.170843
1.8,-13.209301,7.348198,-1.1590091,-1.4598222,-0.04539282,-0.002922752,13.163908,9.348198
1.9,-12.485316,7.0492797,-3.4350069,-3.7339044,-0.070604876,0.019292872,12.414712,9.04928
2.0,-11.800099,6.6315475,-4.055813,-4.3521256,0.07329346,0.004989019,11.873393,8.631547
2.1,-11.159338,6.1972876,-4.1087995,-4.4025397,-0.011278743,0.007965522,11.148059,8.197288
2.2,-10.555654,5.733929,-3.5052066,-3.7963305,0.0033833922,0.04980092,10.559036,7.733929
2.3,-10.000799,5.354795,-3.4431598,-3.7322412,-0.071236126,-0.0055735838,9.929563,7.354795
2.4,-9.484284,4.995021,-3.2787063,-3.5659318,-0.02722662,-0.006459445,9.457058,6.995021
2.5,-9.001784,4.649368,-2.988215,-3.273733,0.0055263364,0.0021895939,9.00731,6.649368
2.6,-8.553906,4.341585,-2.8432548,-3.127314,-0.05758499,0.021261951,8.496322,6.341585
2.7,-8.137269,4.058998,-2.7305849,-3.0133567,0.018732805,-0.030298045,8.156002,6.058998
2.8,-7.748516,3.7893806,-2.539338,-2.8209274,-0.03009935,-0.039450087,7.7184167,5.7893806
2.9,-7.385908,3.5416863,-2.387477,-2.6680195,-0.014663209,-0.011825487,7.371245,5.5416865
3.0,-7.0470123,3.309797,-2.226,-2.505597,-0.030168012,-0.03267846,7.0168443,5.3097973
