t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
0.0,-19.900658,-0.11140814,-20.0,0.0,5404.356,3.9392793,3.99802,0.0,0.0,20.0,2.0,4.209
0.1,-20.007957,0.3307946,-19.980305,0.3938877,5404.356,3.9384587,3.8445096,-1.5032798e-07,-3.0065596e-06,19.980305,2.3938878,4.209
0.2,-19.791687,0.6934825,-19.921225,0.78768855,5404.356,3.9375424,3.9211528,-5.679057e-07,-5.344995e-06,19.921225,2.7876885,4.209
0.3,-19.518164,1.1265935,-19.822771,1.181393,5404.356,3.9365308,3.9344478,-1.1859207e-06,-7.0153055e-06,19.82277,3.181393,4.209
0.4,-19.731781,1.5535765,-19.68495,1.5749915,5404.356,3.9354236,3.936219,-1.9375607e-06,-8.017492e-06,19.684948,3.5749915,4.209
0.5,-19.554604,2.05219,-19.507776,1.9684745,5404.356,3.934221,3.943246,-2.756013e-06,-8.351554e-06,19.507772,3.9684746,4.209
0.6,-18.975416,2.3297167,-19.29126,2.3618326,5404.356,3.9329233,3.9634452,-3.5744654e-06,-8.017492e-06,19.291256,4.3618326,4.209
0.7,-18.881927,2.5964935,-19.035414,2.7550561,5404.356,3.9315305,3.92976,-4.326105e-06,-7.0153055e-06,19.03541,4.755056,4.209
0.8,-18.834148,3.2621422,-18.740253,3.1481354,5404.356,3.9300427,3.9116397,-4.94412e-06,-5.344995e-06,18.740248,5.1481357,4.209
0.9,-18.29728,3.4573524,-18.405792,3.5410614,5404.356,3.9284601,3.9080806,-5.3616977e-06,-3.0065596e-06,18.405787,5.5410614,4.209
1.0,-18.12473,3.9279523,-18.032045,3.9338243,5404.356,3.9267828,3.896207,-5.512026e-06,0.0,18.032042,5.9338245,4.209
1.1,-17.71218,4.3710685,-17.619032,4.326415,5404.356,3.925011,3.9643881,-5.3282915e-06,3.674684e-06,17.619028,6.326415,4.209
1.2,-17.118378,4.7387843,-17.166769,4.7188234,5404.356,3.923145,3.8908186,-4.743683e-06,8.017492e-06,17.166765,6.7188234,4.209
1.3,-17.05793,5.2204585,-16.675274,5.1110406,5404.356,3.9211848,3.9635231,-3.691387e-06,1.3028425e-05,16.67527,7.1110406,4.209
1.4,-16.489552,5.5509577,-16.144567,5.503057,5404.356,3.9191306,3.9200804,-2.1045917e-06,1.8707482e-05,16.144566,7.503057,4.209
1.5,-15.687128,5.8087325,-15.57467,5.8948636,5404.356,3.9169827,3.89092,8.3515545e-08,2.5054664e-05,15.57467,7.8948636,4.209
1.6,-15.168169,6.504307,-14.965603,6.2864504,5404.356,3.914741,3.9456615,2.8061222e-06,2.9397472e-05,14.965606,8.28645,4.209
1.7,-14.254539,6.6972423,-14.317388,6.677809,5404.356,3.9124062,3.8760335,5.7291663e-06,2.9063409e-05,14.317393,8.677809,4.209
