traj_id,t,fv0_x,fv0_v,fv0_v_noise,fv0_u,fv0_a_ref,fv0_a
0.0,0.0,0.0,0.0,0.045424744,2568.0,2.0,1.7302793
0.0,0.1,0.008639254,0.17266533,0.015099326,2559.222,1.9931636,1.7230949
0.0,0.2,0.034509797,0.3446325,0.3030052,2550.987,1.98675,1.7163166
0.0,0.3,0.07754384,0.51594216,0.39886576,2543.295,1.9807594,1.7099442
0.0,0.4,0.13767767,0.6866349,0.8209932,2536.146,1.9751915,1.7039783
0.0,0.5,0.21485162,0.8567514,0.9272222,2529.5398,1.9700465,1.6984185
0.0,0.6,0.3090101,1.0263321,0.9749638,2523.4766,1.9653245,1.6932652
0.0,0.7,0.42010155,1.195418,1.1013122,2517.9565,1.9610254,1.6885183
0.0,0.8,0.54807854,1.3640494,1.2797569,2512.9792,1.957149,1.6841779
0.0,0.9,0.6928976,1.5322671,1.4425461,2508.5452,1.9536955,1.6802438
0.0,1.0,0.8545195,1.7001117,1.5896112,2504.6538,1.950665,1.6767164
0.0,1.1,1.0329089,1.8676239,1.7966535,2501.3054,1.9480573,1.6735955
0.0,1.2,1.2276706,2.0345452,1.9554733,2498.5002,1.9458724,1.6708821
0.0,1.3,1.4383059,2.200545,2.1289127,2496.2378,1.9441104,1.6685774
0.0,1.4,1.6649163,2.365793,2.3467188,2494.5183,1.9427713,1.666681
0.0,1.5,1.9076071,2.530455,2.5311565,2493.342,1.9418551,1.6651928
0.0,1.6,2.1664813,2.6946895,2.734763,2492.7085,1.9413618,1.6641122
0.0,1.7,2.4416392,2.8586469,2.651526,2492.618,1.9412913,1.6634389
0.0,1.8,2.7331793,3.0224698,2.8550062,2493.0706,1.9416437,1.6631724
0.0,1.9,3.0411983,3.1862934,3.197864,2494.066,1.9424189,1.6633121
0.0,2.0,3.3657897,3.3502445,3.239722,2495.6042,1.9436171,1.6638576
0.0,2.1,3.7070456,3.5144422,3.5059984,2497.6858,1.9452381,1.6648084
0.0,2.2,4.065055,3.6789982,3.5624464,2500.31,1.947282,1.6661638
0.0,2.3,4.4399056,3.8440156,3.8152292,2503.4773,1.9497488,1.6679235
0.0,2.4,4.8316827,4.0095906,4.001536,2507.1877,1.9526384,1.6700866
0.0,2.5,5.2404685,4.1758103,4.189474,2511.441,1.9559509,1.6726528
0.0,2.6,5.6663437,4.342756,4.3582435,2516.237,1.9596863,1.6756214
0.0,2.7,6.109387,4.510498,4.4361258,2521.5762,1.9638444,1.6789919
0.0,2.8,6.5696745,4.6791024,4.6123323,2527.4585,1.9684256,1.6827637
0.0,2.9,7.0472794,4.8486247,4.8988304,2533.8835,1.9734296,1.6869363
0.0,3.0,7.542274,5.019114,5.3434668,2540.8516,1.9788564,1.6915091
0.0,3.1,8.054728,5.190611,5.224963,2548.3628,1.9847062,1.6964816
0.0,3.2,8.584707,5.3631487,5.3679137,2556.4167,1.9909787,1.7018533
0.0,3.3,9.1322775,5.5367527,5.38786,2565.0137,1.9976742,1.7076237
0.0,3.4,9.697502,5.7114396,5.6958194,2574.1536,2.0047925,1.7137924
0.0,3.5,10.28044,5.88722,5.7858577,2583.8367,2.0123339,1.7203592
0.0,3.6,10.881151,6.064094,6.292166,2594.0625,2.0202978,1.7273234
0.0,3.7,11.499691,6.242057,6.1856403,2604.8313,2.0286849,1.7346848
0.0,3.8,12.136112,6.421094,6.4368153,2616.143,2.0374947,1.7424431
0.0,3.9,12.790468,6.6011834,6.779661,2627.9978,2.0467274,1.7505982
0.0,4.0,13.462806,6.782296,6.740843,2640.3958,2.056383,1.7591498
0.0,4.1,14.153174,6.964394,7.1256,2653.3364,2.0664613,1.7680979
0.0,4.2,14.861618,7.147432,7.2397437,2666.82,2.0769627,1.7774423
0.0,4.3,15.588179,7.3313565,7.3260994,2680.8467,2.0878868,1.7871832
0.0,4.4,16.332897,7.5161076,7.5984387,2695.4163,2.0992339,1.7973205
0.0,4.5,17.095812,7.7016153,7.6987786,2710.529,2.1110039,1.8078547
0.0,4.6,17.876959,7.8878036,7.986488,2726.1846,2.1231966,1.8187857
0.0,4.7,18.67637,8.074588,8.097123,2742.383,2.1358123,1.830114
0.0,4.8,19.49408,8.261875,8.198617,2759.1245,2.148851,1.8418401
0.0,4.9,20.330114,8.449566,8.587449,2776.409,2.1623123,1.8539646
0.0,5.0,21.184502,8.637553,8.690026,2794.2363,2.1761966,1.866488
0.0,5.1,22.057268,8.825719,8.899782,2810.435,2.1888123,1.8777195
0.0,5.2,22.948435,9.013941,8.868248,2822.8328,2.1984677,1.8859687
0.0,5.3,23.85802,9.202087,9.265804,2831.4297,2.2051632,1.8912365
0.0,5.4,24.786045,9.390019,9.345077,2836.2258,2.2088988,1.893524
0.0,5.5,25.732525,9.577589,9.825012,2837.2214,2.209674,1.8928324
0.0,5.6,26.697474,9.764641,9.5758705,2834.416,2.207489,1.8891631
0.0,5.7,27.680899,9.951014,10.065103,2827.8098,2.2023442,1.8825177
0.0,5.8,28.682814,10.136536,10.235874,2817.403,2.1942391,1.8728976
0.0,5.9,29.703224,10.321029,10.294723,2803.1953,2.183174,1.8603047
0.0,6.0,30.742134,10.504306,10.2908945,2785.187,2.1691487,1.8447411
0.0,6.1,31.799545,10.686173,10.6630535,2763.3777,2.1521633,1.8262086
0.0,6.2,32.875458,10.86643,10.866936,2737.7678,2.132218,1.8047096
0.0,6.3,33.96987,11.044865,11.062263,2708.357,2.1093123,1.7802464
0.0,6.4,35.082783,11.22126,11.431101,2675.1455,2.0834467,1.7528214
0.0,6.5,36.2145,11.395147,11.260534,2638.1333,2.054621,1.7224399
0.0,6.6,37.364796,11.56596,11.707034,2597.32,2.022835,1.6891075
0.0,6.7,38.53294,11.733304,11.855543,2552.7063,1.9880891,1.652829
0.0,6.8,39.718216,11.89681,11.742083,2504.2917,1.950383,1.6136088
0.0,6.9,40.919903,12.056125,12.103529,2452.0764,1.9097168,1.5714514
0.0,7.0,42.137302,12.210918,12.129949,2396.0603,1.8660905,1.5263612
0.0,7.1,43.369713,12.360882,12.19354,2336.2434,1.8195041,1.4783425
0.0,7.2,44.616447,12.505727,12.449572,2272.6257,1.7699577,1.4273994
0.0,7.3,45.876816,12.645184,12.710657,2205.2073,1.7174511,1.3735359
0.0,7.4,47.15015,12.779005,12.70283,2133.988,1.6619843,1.3167558
0.0,7.5,48.43578,12.906964,12.882397,2058.968,1.6035576,1.2570628
0.0,7.6,49.733044,13.028855,13.138429,1980.1471,1.5421706,1.1944603
0.0,7.7,51.041294,13.144491,13.346647,1897.5256,1.4778236,1.1289517
0.0,7.8,52.359882,13.253709,13.237899,1811.1033,1.4105166,1.0605397
0.0,7.9,53.68818,13.356363,13.183016,1720.8801,1.3402493,0.9892274
0.0,8.0,55.025543,13.452331,13.601429,1626.8563,1.267022,0.9150172
0.0,8.1,56.371365,13.541508,13.653173,1529.0316,1.1908346,0.8379113
0.0,8.2,57.725025,13.623813,13.624866,1427.4062,1.1116871,0.75791174
0.0,8.3,59.08592,13.699184,13.50639,1321.9801,1.0295795,0.6750202
0.0,8.4,60.45345,13.767581,13.808884,1214.436,0.9458224,0.5905487
0.0,8.5,61.827026,13.828983,13.946048,1110.2433,0.8646754,0.5087578
0.0,8.6,63.206062,13.88339,13.8952675,1009.8226,0.7864662,0.42997617
0.0,8.7,64.58999,13.930825,13.939013,913.17395,0.7111947,0.3542041
0.0,8.8,65.97823,13.971328,13.767387,820.2974,0.63886094,0.2814418
0.0,8.9,67.37024,14.004961,13.9711895,731.19293,0.5694649,0.21168919
0.0,9.0,68.76545,14.031809,14.001876,645.86053,0.50300664,0.14494577
0.0,9.1,70.16333,14.051975,13.9245825,564.3002,0.43948612,0.08121076
0.0,9.2,71.56333,14.065583,14.123407,486.5119,0.37890333,0.020483112
0.0,9.3,72.964935,14.072779,13.982567,412.49567,0.3212583,-0.03723857
0.0,9.4,74.367615,14.073728,14.098099,342.25153,0.26655102,-0.09195596
0.0,9.5,75.77086,14.068616,14.092704,275.77945,0.2147815,-0.14367105
0.0,9.6,77.174164,14.0576515,14.163466,213.07942,0.1659497,-0.19238608
0.0,9.7,78.57703,14.041062,14.034467,154.15146,0.12005566,-0.2381036
0.0,9.8,79.97895,14.019096,14.124182,98.995575,0.07709936,-0.28082642
0.0,9.9,81.37947,13.9920225,13.919464,47.611755,0.037080806,-0.32055762
0.0,10.0,82.7781,13.960132,13.845454,4.0856207e-14,3.1819478e-17,-0.35730055
0.0,10.1,84.17437,13.923734,13.788635,-43.83969,-0.03414306,-0.3910587
0.0,10.2,85.567825,13.883161,13.773601,-83.90732,-0.06534838,-0.42183596
0.0,10.3,86.958015,13.838762,13.808977,-120.20287,-0.09361594,-0.44963628
0.0,10.4,88.34449,13.790914,13.691666,-152.72636,-0.11894577,-0.47446388
0.0,10.5,89.726814,13.740006,13.648667,-181.4778,-0.14133784,-0.4963232
0.0,10.6,91.10456,13.686455,13.65894,-206.45715,-0.16079217,-0.51521885
0.0,10.7,92.47731,13.630693,13.898469,-227.66444,-0.17730877,-0.5311555
0.0,10.8,93.84464,13.573178,13.425165,-245.09969,-0.1908876,-0.5441383
0.0,10.9,95.20616,13.514384,13.649112,-258.76285,-0.2015287,-0.55417216
0.0,11.0,96.56146,13.454808,13.289024,-268.65393,-0.20923205,-0.56126237
0.0,11.1,97.91016,13.394968,13.3513365,-274.77298,-0.21399765,-0.5654143
0.0,11.2,99.251854,13.335401,13.403598,-277.11993,-0.2158255,-0.56663346
0.0,11.3,100.5862,13.276666,12.933533,-275.69485,-0.21471561,-0.5649256
0.0,11.4,101.912796,13.219342,13.226433,-270.49768,-0.21066798,-0.56029636
0.0,11.5,103.23195,13.163693,13.159607,-261.52844,-0.20368259,-0.5527483
0.0,11.6,104.54523,13.109163,12.94637,-248.78716,-0.19375947,-0.5422757
0.0,11.7,105.8529,13.055741,12.99915,-232.50235,-0.1810766,-0.5290563
0.0,11.8,107.15514,13.003454,13.077516,-215.64534,-0.16794808,-0.5154044
0.0,11.9,108.45213,12.952324,13.103106,-199.13036,-0.15508594,-0.50203204
0.0,12.0,109.744026,12.90237,12.841743,-182.95738,-0.14249018,-0.48893934
0.0,12.1,111.031,12.85361,13.040493,-167.12643,-0.13016078,-0.4761264
0.0,12.2,112.313194,12.806056,12.671918,-151.63751,-0.11809775,-0.46359318
0.0,12.3,113.590775,12.759718,12.86615,-136.49062,-0.1063011,-0.45133972
0.0,12.4,114.86389,12.7146015,12.742065,-121.68573,-0.09477082,-0.43936595
0.0,12.5,116.132675,12.67071,12.713039,-107.22288,-0.08350691,-0.4276718
0.0,12.6,117.39727,12.628043,12.604669,-93.10204,-0.07250938,-0.41625714
0.0,12.7,118.657814,12.586598,12.4138,-79.323235,-0.06177822,-0.40512192
0.0,12.8,119.91443,12.546369,12.467026,-65.886444,-0.051313434,-0.39426592
0.0,12.9,121.16724,12.507344,12.532461,-52.791683,-0.04111502,-0.38368896
0.0,13.0,122.41636,12.469511,12.71808,-40.03894,-0.031182976,-0.37339082
0.0,13.1,123.6619,12.432853,12.374358,-27.628222,-0.021517307,-0.36337128
0.0,13.2,124.90399,12.39735,12.490168,-15.559525,-0.01211801,-0.35363004
0.0,13.3,126.142715,12.36298,12.429558,-3.83285,-0.0029850856,-0.34416685
0.0,13.4,127.37818,12.329716,12.28745,7.5518017,0.0058814655,-0.33498132
0.0,13.5,128.61047,12.297527,12.450173,18.59443,0.014481644,-0.32607317
0.0,13.6,129.83969,12.266383,12.183379,29.295036,0.02281545,-0.31744197
0.0,13.7,131.0659,12.236246,12.373798,39.65362,0.030882882,-0.30908734
0.0,13.8,132.2892,12.207078,12.336843,49.67018,0.038683943,-0.30100885
0.0,13.9,133.50966,12.178834,12.031556,59.34472,0.04621863,-0.293206
0.0,14.0,134.72734,12.15147,12.129666,68.67724,0.053486943,-0.2856784
0.0,14.1,135.9423,12.124936,12.28602,77.66773,0.060488887,-0.27842543
