,traj_id,t,u,v_meas_m,x_meas,a_true,v_true_m,v_true_km,x_true,a_true_shift,v_true_shift_m,x_true_shift
0,1.0,0.0,510.0,13.853868,0.15381263,-0.0008614474,13.888889,50.0,0.0,-0.0021411625,13.8888035,1.388889
1,1.0,0.40053403,508.07935,13.68761,1.492697,-0.0021411625,13.8888035,49.99969,1.388889,-0.0033886668,13.888589,2.7777693
2,1.0,0.80106807,506.20544,14.037091,2.8223178,-0.0033886668,13.888589,49.99892,2.7777693,-0.0046039955,13.88825,4.1666284
3,1.0,1.2016021,504.37823,13.890584,4.2307405,-0.0046039955,13.88825,49.9977,4.1666284,-0.005787177,13.88779,5.5554533
4,1.0,1.6021361,502.59775,13.992879,5.713513,-0.005787177,13.88779,49.99604,5.5554533,-0.006938229,13.887211,6.9442325
5,1.0,2.0026703,500.86398,14.049532,7.089627,-0.006938229,13.887211,49.993958,6.9442325,-0.008057179,13.886517,8.332953
6,1.0,2.4032042,499.1769,13.942414,8.282773,-0.008057179,13.886517,49.99146,8.332953,-0.009144057,13.885711,9.721605
7,1.0,2.8037384,497.5366,13.806155,9.767378,-0.009144057,13.885711,49.988556,9.721605,-0.010198898,13.884796,11.110176
8,1.0,3.2042723,495.943,13.862992,11.131072,-0.010198898,13.884796,49.985264,11.110176,-0.011221721,13.883777,12.498655
9,1.0,3.6048064,494.3961,13.801528,12.558211,-0.011221721,13.883777,49.981594,12.498655,-0.012212543,13.882654,13.887033
10,1.0,4.0053406,492.8959,13.791253,13.689089,-0.012212543,13.882654,49.977554,13.887033,-0.013171396,13.881433,15.275299
11,1.0,4.4058747,491.44244,14.0268135,15.245882,-0.013171396,13.881433,49.973156,15.275299,-0.014098327,13.8801155,16.663443
12,1.0,4.8064084,490.0357,13.907542,16.609299,-0.014098327,13.8801155,49.968414,16.663443,-0.014993339,13.878706,18.051455
13,1.0,5.2069426,488.6757,13.877792,17.94914,-0.014993339,13.878706,49.96334,18.051455,-0.015856463,13.877207,19.439325
14,1.0,5.6074767,487.3624,13.846342,19.59309,-0.015856463,13.877207,49.957943,19.439325,-0.01668772,13.875621,20.827045
15,1.0,6.008011,486.0958,13.899212,20.94928,-0.01668772,13.875621,49.952232,20.827045,-0.017487159,13.873952,22.214607
16,1.0,6.4085445,484.87592,13.956542,22.413671,-0.017487159,13.873952,49.946224,22.214607,-0.018254781,13.872203,23.602003
17,1.0,6.8090787,483.7028,13.797289,23.546013,-0.018254781,13.872203,49.93993,23.602003,-0.018990628,13.870378,24.989223
18,1.0,7.209613,482.57635,13.852664,25.241367,-0.018990628,13.870378,49.933357,24.989223,-0.019694721,13.868479,26.37626
19,1.0,7.610147,481.49664,13.949882,26.473375,-0.019694721,13.868479,49.92652,26.37626,-0.020367105,13.866509,27.76311
20,1.0,8.010681,480.46365,13.897402,27.835434,-0.020367105,13.866509,49.919434,27.76311,-0.021007761,13.864472,29.14976
21,1.0,8.411215,479.47736,13.851204,29.110275,-0.021007761,13.864472,49.912098,29.14976,-0.021616759,13.862371,30.536207
22,1.0,8.811749,478.5378,13.9522,30.499128,-0.021616759,13.862371,49.904537,30.536207,-0.02219411,13.860209,31.922443
23,1.0,9.212283,477.64496,13.829259,31.978157,-0.02219411,13.860209,49.89675,31.922443,-0.022739837,13.85799,33.308464
24,1.0,9.612817,476.79886,13.728253,33.214542,-0.022739837,13.85799,49.888763,33.308464,-0.023253975,13.855717,34.694263
25,1.0,10.013351,475.99945,13.878818,34.876244,-0.023253975,13.855717,49.880577,34.694263,-0.023736542,13.853392,36.079834
26,1.0,10.413885,475.24677,13.923393,36.135136,-0.023736542,13.853392,49.872208,36.079834,-0.024187565,13.851018,37.46517
27,1.0,10.814419,474.5408,13.668408,37.28641,-0.024187565,13.851018,49.863663,37.46517,-0.024607077,13.848599,38.850273
28,1.0,11.214953,473.88156,13.779572,38.771168,-0.024607077,13.848599,49.854958,38.850273,-0.02499509,13.846139,40.235134
29,1.0,11.615487,473.269,13.905439,40.31854,-0.02499509,13.846139,49.8461,40.235134,-0.025351645,13.843639,41.619747
